BTC	Bitcoin	
MRC	MRC
MTC	MarineCoin
OLY	OlympicCoin
PMC	PMC
PRC	ProsperCoin
Q2C	QubitCoin
RIC	Riecoin
SOC	SocialCoin
WIKI	WIKI
XCP	Counterparty
ANT	ANT
FRY	FRY
GRC	Gridcoin
STC	STC
TTC	TittieCoin
UNI	UNI
ZED	Zedcoin
BTQ	Bter Securities
MTS	MantisCoin
PHO	Photon
MIM	MIM
CGA	CGA
WOLF	InsanityCoin
MED	MediterraneanCoin
DUCK	DUCK
FSC	FriendshipCoin
RUBY	RUBY
VEN	VEN
PCC	PCC
BEN	Benjamins
SVC	SVC
HKC	HKC
SUN	Suncoin
PI	PI
SYN	SYN
BLK	BLK
KRN	KRN Coin
IQD	IQD
ZEIT	ZeitCoin
ALB	ALB
NRS	NoirShares
HVC	HeavyCoin
LDC	LDC
YIN	YIN
PANDA	ThePandaCoin
MVC	MVC
TAK	Takcoin
C2	Coin2.1
YANG	YANG
GPUC	GPUC
GPU	GPU
LGBT	Rainbowcoin
POT	PotCoin
AIR	AIR
TRL	TRL
EMC2	Einsteinium
EBT	Electronic Benefit Transfer	
RQC	RQC
APP	APP
GHC	GHC
SAT	SAT
APH	APH
DIEM	CarpeDiemCoin
ADN	Aiden
HPC	HPC
BELI	BELI
BTCS	BitcoinScrypt	
EMO	EMO
PT	Platinum Coin
GAC	GAC
HIC	HIC
BLTZ	BLTZ	
PLNC	PLNC
SLOTH	SLOTH
TOP	Topcoin
FLT	FlutterCoin
SLR	SolarCoin
AAA	AAA
GNS	GNS
MRS	MarsCoin
BEA	BEA
IPC	ImperialCoin
HIRO	HiroCoin
888	OctoCoin
EFL	ElectronicGulden
GRCE	GRCE
PAWN	PawnCoin
XSV	XSV
BAT	BatCoin	0.00 µBTC
NYC	NYC
DOPE	DopeCoin
BELA	BellaCoin
LYC	LycanCoin
CESC	CryptoEscudo
FRX	ForexCoin
365	365Coin
GER	GER
ECC	ECCoin
RT2	RT2
FAIL	FailCoin
MPL	MPL
SHA	SHACoin
BONES	BONES
PTC	PesetaCoin
FAC	Faircoin
SHC	SHC
PLC	PLC
DMC	DamaCoin
PND	PandaCoin
RBBT	Rabbitcoin
MN1	Mining Contract 1
SRR	SRR
BTL	BitleuCoin
BNS	BNS
JNY	JNY
CARB	CarbonCoin	
66	66
YACC	YACC
BEL	BellsCoin
PCN	PCN
ANI	AnimeCoin
DOUG	DOUG
LPC	LPC
LTB	LiteBar
O2O	O2O
PWNY	PwnyCoin
SPH	SPH
STA	STA
UN	UN
VGC	VegasCoin
VOLT	Electric
XDC	XDC
HOT	HotCoin
CATC	CATC
POC	POC	
KILR	KILR
RBY	RubyCoin
H2O	H2O
RAIN	RAIN
WATER	CleanWaterCoin
GRS	GroestlCoin
10-5	10-5
NGC	NGC
MUN	MUN
CREA	CREA
STY	STY
NOTE	DNotes
NLG	GuldenCoin
HMO	HMO
KMC	KMC
LIM	LIM
GIVE	GIVE
JBG	JBG
CAI	CAI
MRY	MurrayCoin
XXL	XXLcoin
LGC	Logicoin
SRG	SRG
XXC	XXC
THOR	THOR
TESLA	TESLA
ZMB	ZMB
ORO	Orobit
GOX	GOX
BRC	BieberCoin
FLN	FLN
HEX	Heisenberg
SMB	SambaCoin
WC	WhiteCoin
HTML	HtmlCoin
CHA	CharityCoin
IVC	IVC
METH	CryptoMeth
XBC	BitCoinPlus
KSC	KashmirCoin
STD	STD
COMM	CommunityCoin
RUP	RUP
H5C	HighFiveCoin
GOLD	GoldEagles
LGD	Legendary Coin
CC	CC
SPN	SpartanCoin
EXN	EXN
WAM	WAM
FUNK	The Cypherfunks
MAC	MachineCoin
EQB	EQB
2CH	2CHCoin
ATO	ATO
AUS	AUS
BEK	BEK
BUR	BurbuCoin	
CHC	ChainCoin	
CRAP	CRAP
CTC	CTC
DOT	KimDotCoin
DUC	Ducats
FLC	FloridaCoin
FRSC	FRSC
KAR	KAR
MAZA	MazaCoin
MLC	MLC
MOL	MoleculeCoin
NUT	NutCoin
OFF	Offerings
ORCA	ORCA
PD	PD
PIR	PIR
STL	STL
STP	StoopidCoin
TFC	TFC
UNC	UniverseCoin
VMP	VMP
WTC	WTC
XTN	XTN
NC2	NC2
MAKI	MakiCoin
XSS	XSS
ITC	ITC
EON	EON
AC	AsiaCoin
QBC	QuebeCoin
ZTC	ZTC
GIAR	GiarCoin
OC	OrangeCoin
CHG	CHG
SFR	SaffronCoin
MARU	MARU
BLU	BlueCoin
YUM	YUM
FCK	FCK
BITS	BitStarCoin
MONA	MonaCoin
MUL	MUL
TWE	TWE
EUK	EUK
GMC	GamersCoin	
KED	KED
JPC	JackpotCoin	
MGC	MGC
LAT	Latium
SUM	SUM
YC	YC
CINNI	CinniCoin
CDN	CDNCoin
BUN	BUN
DFQ	DFQ
VER	VER
BOB	DobbsCoin
GUN	GunCoin
RAP	RAP
ENC	ENC
BCC	BTCtalkcoin
THC	HempCoin
GDN	Global Denomination
SLOT	SLOT
MN2	Mining Contract 2
GRN	GRN
OMC	OmniCoin
TWIP	TWIP
TCO	Tacocoin
SPC	SuperCoin
FBC	FBC
JUG	JUG
TSC	TSC
HOC	HOC
BDG	BDG
CCX	CornerstoneCoin
LC	LC
WAC	WAC
NUD	NewUniversalDollar
KOR	KOR
1CR	1CRedit
FUEL	FUEL
FUR	FUR
ZS	Zimstake
GTC	GTC
DB	DB
500	500
ULT	ULT
UVC	UVC
GIV	GIV
LIRE	LIRE	
GRE	GreenCoin
BST	BST
SHIBE	ShibeCoin
PC	PinkCoin
QTM	QTM
DRS	DenariusCoin
HASH	HASH
CPTL	CPTL
PLX	ParallaxCoin
VMC	VirtualMiningCoin	
BANK	BankCoin
KAC	KAC
NAUT	NautilusCoin
CTZ	CTZ
VLT	VLT
CFC	CFC
DRM	DRM
PIX	PIX
BBTC	BaseBTC
SHARE	SHARE
ELT	Electron	
VRC	VeriCoin
MEG	MEG
ERC	ERC
MHA	MHA
ABY	AppleByte
666	666
XLB	LibertyCoin	
HC	HC
LCL	LCL	
MON	Monocle	
CPC	CPC
CURE	CureCoin
ENRG	EnergyCoin
UNB	UnbreakableCoin
PRIMIO	PRIMIO
BIRD	BIRD
BDC	BDC
WEST	WEST
CYC	ConspiracyCoin
DON	Donationcoin
CAIX	CaiShen
XLC	XLC
SYNC	Sync
URO	UroCoin
IRL	IrishCoin
GOAL	GoalCoin
AIDEN	Aiden
BEE	BeeCoin
CLC	CLC	
CR	CarbonEmissionTradeCoin	
GOAT	GoatCoin
HXC	HXC
QB	QuarkBar
SMURFS	TheSmurfsCoin
MAST	MastCoin
CFN	ConfessionCoin
MOTO	MOTO
IDC	IDC
RTC	RTC
SLM	Slimcoin	
VIO	VIO
BTCD	BitCoinDark
MAGIC	MagiCoin
CX	CX
MRO	MRO
CAKE	CAKE
WIN	WinCoin
DIS	DistroCoin
QCN	QuazarCoin
XDQ	Dirac
FIT	FIT
DOJE	DOJE
XSI	Stability Shares
AV	AV
XC	XCurrency
LIMX	LIMX
USB	USB
GAY	GAY
ELIRA	ELIRA
MNR	MNR
ACC	ACC
MAIA	MaiaCoin
KUMA	KumaCoin
BCN	ByteCoin
SCC	SCC
EBG	EBG
CRY	CRY
RATC	RATC
CT	CT
ESC	ESportscoin	
MDO	MDO
QORA	Qora
SCOT	ScotCoin	
CANN	CannabisCoin
BRM	BRM
MXT	MXT
VOOT	VootCoin
FCN	FantomCoin
NTR	Neutrino
SOCHI	SOCHI
YOLO	YOLO
MAMM	MammothCoin
SUPER	SuperCoin
BEER	BeerCoin
COOL	CoolCoin
BOST	BoostCoin
AIM	AimCoin
MIL	MIL
LTCX	LiteCoinX	
A3C	A3C
DVK	DvoraKoin
GOOD	GoodCoin
MMXIV	MMXIVCoin	
MYC	MyCoin
BTCX	BTCX
WIFI	WIFI
CLOT	BumbaCoin
EDU	EDU
CHCC	CHCCoin	
RIN	Ringo
BBR	Boolberry
SHOP	SHOP
KTK	KryptKoin
HYPER	Hyper
PURE	PURE
DIG	Digit
NEB	NEB
LOL	LeagueCoin
CPN	CompuCoin
NL	NL
SWC	SWC
SFC	SFC
ROM	ROM
HPY	HPY
JADE	JadeCoin	
AXIS	AXISCoin
WKC	WankCoin
BCAT	BCAT
FLX	FLX
FWCC	FWCC
YMC	YMC
MIN	Minerals
CRT	CRTCoin
DCM	DCM
KIWI	KIWI
X13C	X13C	
UNVC	UNVC
MHYC	MHYC
HMY	HMY	
MUGA	Mugatu
PEV	PEV
X13	X13
OPC	OPEC Coin
CNL	ConcealCoin
VIK	VIK
SUM2	SUM2
LTS	Lotuscoin
BN	BN
WVS	WVS
CLOAK	CloakCoin
XMR	Monero
NJA	NJA
TAC	TalkCoin
CRD	Credits
ZIP	ZIP
ALN	AlienCoin
GXG	GXG
ULTC	UmbrellaLTC
GCN	GCN
COIN2	COIN2
ARK	ARK
XHC	HonorCoin
CDA	CDA
QTM2	Quantum2
TC	TC
X15C	X15Coin
PINK	PinkCoin
MACD	MACDCoin
BURN	BurnerCoin
UNUM	UNUM
CFC2	CoffeeCoin
CCS	CCS
ATH	ATH
PIGGY	PiggyCoin
FJC	FJC
CLAM	CLAMS
GUE	GuerillaCoin
WEB	WebCoin
BCH	BCH
BCT	BitcointalkCoin
BWC	BWC
CRYPT	CryptCoin
GLYPH	GlyphCoin
GRK	GreekCoin
NTC	NTC
SNCX	SNCX
SHH	Quietcoin
XBL	BitLion
MWC	MultiWalletCoin
START	StartCoin
SOL	SoleCoin
TRK	TruckCoin
CAC	CAC
EMU	EmuCoin
HORS	HorseCoin
HTC	HTC
PHI	PHI
FRAC	FractalCoin
RIOT	RIOT
NST	Nest
CLN	CLN
PHC	PHCoin
GML	GameLeagueCoin
XGR	GoldReserve
ROX	RoxCoin
VEIL	VeilCoin
VVV	VVV
LION	LionV2
PER	PER
FLASH	FLASH
KORE	KoreCoin
POS	POS
BTM	Bitmark
RZR	Razor
BBL	BBL
DOG	DOG
SCQ	SCQ
MCN	Moneta Verde
SIS	SIS
BOUN	BOUN
FIRE	FireCoin
CFCV2	CFCV2
RC	RC
XDN	DuckNote
WACG	WaccoinGold
OTC	OTC
LIT	LightCoin
PYRA	PyramidsCoin
GOD	GOD
XFC	XFC
WHC	WHC
V8	CarCoin
RACE	RaceCoin
BLZ	BlazeCoin
NTX	nTx
UFO	UFO
DOLP	DolphinCoin
TECH	TechCoin
AIDE	AIDE
HODOR	HODOR
SVR	SVR
SYS	SysCoin
DOOM	DoomCoin
TIT	TitCoin
BRIT	BritCoin
WAS	WAS
SPCC	SPCC
XXX	XXXCoin
QTL	Quatloo
LIZE	LIZE
SAT2	SaturnCoinV2
BTI	BitcoinInstant
CARBON	Carboncoin
SING	SING
VAULT	VaultCoin
XAP	API Coin
TRUST	TrustPlus
CSO	CSCoin
COCO	CoCoCoin
JUDGE	JudgeCoin
FVZ	FVZCoin
SRZ	SRSuarezCoinZ
PLCN	PeleCoin
VTA	VirtaCoin
ASCE	AscentCoin
N5X	N5coin
TDY	TeddyCoin
LOCK	LockCoin
FRSH	FreshCoin
SOLE	SoleCoin
BTSX	BitSharesX
ISIS	IsisCoin
CKC	CheckCoin
FOOD	PlanktonCoin
NFD	NFD
PSEUD	PseudoCash
COF	COF
BNC	BNC
NAV	NavajoCoin
TOR	TorCoin
XAN	XAN
AGS	Aegis	
ICB	IcebergCoin
BLP	BLP
GBC	GB Coin
MAID	MaidSafeCoin
CAM	CAM
SHLD	ShieldCoin
NUMC	NUMC
AR	ARCoin
XST	StealthCoin
CRSALE	CRSALE
CHAT	ChatCoin
NOAH	NOAHcoin
PAL	PalestineCoin	
XBD	XBD
THANK	THANK
SPATA	SPATA
APEX	ApexCoin
RODS	Plutonium
VIA	ViaCoin
TOKEN	TOKEN
PRO	PayProCoin
HYP	HyperStake
ARCH	ARCH
TRST	TRST
TRI	Triangles
KEY	KeyCoin
FZN	Fuzon
IMP	Imperialcoin
SDC	ShadowCoin
TTY	Trinity
BLTR	BLTR
BPC	BitpopCoin
GLY	GoldenLoaf
CZE	CZECoin
JLH	jl777hodl
VAST	VAST
PES	Pesa
VC	VirtualCoin
MJ	MJ
ICG	IncognitoCoin
ONYX	ONYX
RCE	RCE
AEON	AEON Coin
BSY	BanksyCoin	
NHC	NHC
UMO	UMO
PZR	PayzorCoin
MAGI	MAGI
MEA	MEA
NGT	NGT
W8	W8
WHRL	WHRL
NWO	New World Order Coin
VENT	VENT
RVC	RevoCoin
DRKC	DarkCash
BLEU	Bleutrade
ELITE	ELITE
RSN	RSN
IOC	IOCoin
BNCR	BancorCoin	
CITY	CITY
LXC	LibrexCoin
APC	APC
NIC	NIC
QUID	Quid
BMY	BitMoney	
PRISMA	PrismaCoin
XCN	Cryptonite	
CLD	XCloudCoin
EKITA	Ekita
SRCC	SourceCoin
BOOM	BoomCoin
RAW	RawCoin
XRC	RhinoCoin
GBP	British Pound	
MC	Multisig Coin
UPM	eUtopium
ETHAN	EthanCoin
RLT	RLT
CDT	Cassubian Detk
XPD	PetroDollar
FBIT	FBIT
DOS	DosCoin
GPC	GroupCoin
ZEBRA	ZebraCoin
MLS	MozzShare
ZIPC	ZipCoin
AID	Aidbit
SHOPX	ShopXCoin
UNAT	Unattainium
CLSTR	ClusterCoin
CK	CK
ONYX2	Onyxcoin
WSX	WeAreSatoshi
CRYST	CrystalCoin	
VVXX	VvXx
CZC	CzechCrownCoin
LIMI	LIMI
FC2	Fuel2Coin
HZ	HertzCoin
DUO	ParallelCoin
FUND	FUND
SJCX	StorjCoin X
XBIT	Xryptbit
KIMO	KimoCoin
QBK	Qibuck
SSD	SonicScrewDriver
INT	IntelliCoin
MNS	MantisCoin
DRX	DarkFox
THEO	Theorem
CAPT	CaptCoin
RSCC	RSCC
SILK	SilkCoin
XF	FileBit
BURST	Burst
SIGN	SignatureCoin
BILS	BillionCoin
BLKT	BlackToken
J	JoinCoin
XDE	XDoubleEagle
HAL	Halcyon
FIBRE	Fibre
ABC	Abundance
PLEB	Plebeian
NMB	NimbusCoin
ONE	0ne
XURO	Xuro
TMC	Timecoin
CLOA	CLOA
BIG	BigBullion
APOL	ApolloCoin
RIPO	RipoffCoin
NM	Nightmare
BCSH	BitCash
BBC	BigBangCoin
NEOS	NeosCoin
LMR	LMR
USE	UseCoin
GRID	GridCoin
LTM	LTM
AXR	Axron
GB	GreenBacks
DEC	DevasCoin	
XBM	BitMo
ROOT	RootCoin
BVC	BVC
SNET	Skynet
EXCL	EXCL
DCN	DCN
CNMT	Coinomat
FLEX	FlexibleCoin	
PROZ	PROZ
SLEAK	SLEAK
MNTA	Moneta
SPUDS	SPUDS
VEX	VEX
DT	DT
CRAIG	CRAIG
NULL	NULL
ORTHO	ORTHO
XCPLTBC	XCPLTBC
DARKB	DARKB
DD	DD
XCASH	XCASH	
TLC	TLC
BITUSD	Bitshares X	
HAM	HAM	
XBOT	XBOT	
FAIR	FAIR
TH1	TH1
BUY	BUY
BTLS	BTLS
PAC	PAC
FBT	FBT	
TRDR	TraderCoin	
SSV	SSVCoin
XDP	XDP
XCPFLDC	XCPFLDC
VLTY	VLTY	
LAB	LAB
NXTTY	NxttyCoin	
SHADE	SHADE	
ATOMIC	ATOMIC
IMAC	IMAC
CNO	CNO
HTML5	HTML5
ACOIN	ACOIN
CPT	CPT
TNZ	TNZ	
MGW	MGW	
CRACK	CRACK
XCPSKUL	XCPSKUL
BORG	BORG	
ABC2	ABC2
IMC	IMC
ARI	ARI
JBS	JBS
BUNNY	BUNNY
EMC	EMC
FUSE	FUSE
KOOL	KOOL
KRYP	KRYP	
LTCD	LTCD
TPL	TPL
RUBLE	RUBLE	
BITCNY	BITCNY	
PXI	PXI	
POW	POW	
XCPSJCX	XCPSJCX	
BSTY	BSTY
XSX	XSX
LSD	LSD
OPAL	OPAL
LTBC	LTBC
ROS	ROS
NODE	NODE
PMP	PMP
MRKT	MRKT
CHILD	CHILD
ROC	ROC
CORG	CorgiCoin
